"","marker","percent_double_same"
"FPBPN0399","FPBPN0399",19.5121951219512
"FPBPN1863","FPBPN1863",18.2926829268293
"FPBPN1107","FPBPN1107",18.0952380952381
"FPBPN1369","FPBPN1369",17.5675675675676
"FPBPN0164","FPBPN0164",17.4311926605505
"FPBRN0153","FPBRN0153",16.8539325842697
"FPBPN0205","FPBPN0205",16.504854368932
"FPBPN1712","FPBPN1712",14.9532710280374
"FPBPN0006","FPBPN0006",13.9784946236559
"FPBPN0045","FPBPN0045",13.2743362831858
"FPBRN0434","FPBRN0434",12.8440366972477
"FPBRN0876","FPBRN0876",12.5984251968504
"FPBRN0426","FPBRN0426",12.1739130434783
"FPBPN1651","FPBPN1651",12.037037037037
"FPBPN1414","FPBPN1414",11.6071428571429
"FPBPN0082","FPBPN0082",10.2362204724409
"FPBPN0294","FPBPN0294",9.27835051546392
"FPBPN0197","FPBPN0197",7.5
"FPBPN1083","FPBPN1083",6.66666666666667
"FPBPN1183","FPBPN1183",5.71428571428571
"FPBPN1702","FPBPN1702",5.05050505050505
"FPBPN1637","FPBPN1637",4.90196078431373
"FPBPN1534","FPBPN1534",4.16666666666667
"FPBPN1466","FPBPN1466",4.0650406504065
"FPBPN0005","FPBPN0005",3.90625
"FPBPN1533","FPBPN1533",3.77358490566038
"FPBPN0790","FPBPN0790",3.7037037037037
"FPBPN1503","FPBPN1503",3.125
"FPBRN0154","FPBRN0154",3.125
"FPBPN0589","FPBPN0589",2.27272727272727
"FPBPN1982","FPBPN1982",2.08333333333333
"FPBPN1563","FPBPN1563",1.88679245283019
"FPBPN0296","FPBPN0296",1.85185185185185
"FPBPN0283","FPBPN0283",1.72413793103448
"FPBPN0595","FPBPN0595",1.63934426229508
"FPBPN0291","FPBPN0291",1.5748031496063
"FPBPN0559","FPBPN0559",1.33333333333333
